 temp, xaxis, yaxis, zaxis
 41.5, -0.69, -1.67, -1.02
 41.6, -0.68, -1.65, -1.05
 41.6, -0.73, -1.65, -1.05
 41.7, -0.70, -1.63, -1.03
 41.8, -0.69, -1.68, -1.05
 41.9, -0.71, -1.65, -1.07
 41.9, -0.72, -1.66, -1.03
 42.0, -0.71, -1.64, -1.04
 42.0, -0.72, -1.65, -1.05
 42.2, -0.70, -1.63, -1.06
 42.2, -0.71, -1.65, -1.04
 42.2, -0.72, -1.62, -1.06
 42.3, -0.70, -1.63, -1.07
 42.3, -0.72, -1.63, -1.05
 42.4, -0.71, -1.62, -1.06
 42.5, -0.74, -1.61, -1.05
 42.5, -0.74, -1.62, -1.06
 42.5, -0.74, -1.62, -1.09
 42.6, -0.72, -1.59, -1.08
 42.7, -0.75, -1.62, -1.08
 42.8, -0.72, -1.63, -1.04
 42.8, -0.73, -1.63, -1.07
 42.8, -0.74, -1.64, -1.06
 42.9, -0.74, -1.62, -1.08
 42.9, -0.74, -1.62, -1.09
 43.0, -0.73, -1.61, -1.07
 43.0, -0.74, -1.62, -1.04
 43.0, -0.74, -1.62, -1.07
 43.1, -0.72, -1.61, -1.06
 43.1, -0.72, -1.62, -1.07
 43.2, -0.71, -1.61, -1.08
 43.2, -0.73, -1.61, -1.10
 43.3, -0.71, -1.60, -1.05
 43.3, -0.72, -1.61, -1.08
 43.3, -0.72, -1.61, -1.08
 43.4, -0.70, -1.59, -1.06
 43.4, -0.71, -1.59, -1.07
 43.5, -0.72, -1.60, -1.09
 43.5, -0.73, -1.59, -1.07
 43.5, -0.75, -1.59, -1.07
 43.6, -0.73, -1.60, -1.07
 43.6, -0.75, -1.60, -1.09
 43.7, -0.72, -1.61, -1.07
 43.7, -0.73, -1.60, -1.11
 43.8, -0.71, -1.61, -1.07
 43.8, -0.72, -1.57, -1.08
 43.8, -0.73, -1.57, -1.09
 43.9, -0.72, -1.59, -1.05
 43.9, -0.73, -1.58, -1.10
 43.9, -0.74, -1.55, -1.09
 43.9, -0.74, -1.57, -1.09
 44.0, -0.70, -1.58, -1.08
 44.0, -0.75, -1.56, -1.09
 44.1, -0.70, -1.58, -1.12
 44.1, -0.72, -1.56, -1.09
 44.1, -0.73, -1.56, -1.07
 44.2, -0.71, -1.58, -1.11
 44.2, -0.73, -1.57, -1.10
 44.3, -0.75, -1.54, -1.10
 44.4, -0.73, -1.55, -1.12
 44.5, -0.74, -1.55, -1.13
 44.6, -0.75, -1.55, -1.11
 44.7, -0.76, -1.53, -1.11
 44.8, -0.75, -1.52, -1.12
 44.9, -0.77, -1.53, -1.11
 45.0, -0.73, -1.51, -1.12
 45.0, -0.77, -1.54, -1.11
 45.1, -0.76, -1.52, -1.10
 45.2, -0.74, -1.53, -1.12
 45.2, -0.75, -1.53, -1.14
 45.3, -0.73, -1.50, -1.12
 45.3, -0.74, -1.51, -1.10
 45.4, -0.73, -1.53, -1.12
 45.5, -0.73, -1.49, -1.13
 45.6, -0.75, -1.51, -1.11
 45.7, -0.72, -1.51, -1.15
 45.7, -0.75, -1.49, -1.12
 45.9, -0.74, -1.52, -1.12
 46.0, -0.76, -1.49, -1.12
 46.0, -0.76, -1.50, -1.15
 46.1, -0.77, -1.48, -1.13
 46.2, -0.76, -1.45, -1.13
 46.3, -0.76, -1.46, -1.15
 46.3, -0.76, -1.49, -1.16
 46.4, -0.76, -1.48, -1.12
 46.5, -0.76, -1.46, -1.12
 46.6, -0.78, -1.46, -1.16
 46.7, -0.76, -1.45, -1.18
 46.8, -0.77, -1.48, -1.18
 46.9, -0.77, -1.45, -1.14
 46.9, -0.79, -1.47, -1.17
 47.0, -0.77, -1.45, -1.17
 47.1, -0.78, -1.43, -1.13
 47.2, -0.76, -1.46, -1.12
 47.3, -0.74, -1.45, -1.16
 47.3, -0.77, -1.46, -1.14
 47.5, -0.75, -1.45, -1.12
 47.6, -0.77, -1.42, -1.13
 47.8, -0.76, -1.43, -1.13
 48.0, -0.76, -1.43, -1.16
 48.1, -0.77, -1.42, -1.17
 48.1, -0.78, -1.40, -1.18
 48.3, -0.77, -1.40, -1.17
 48.4, -0.76, -1.42, -1.17
 48.6, -0.78, -1.39, -1.18
 48.7, -0.81, -1.39, -1.18
 48.9, -0.78, -1.37, -1.17
 49.1, -0.80, -1.37, -1.18
 49.3, -0.77, -1.37, -1.18
 49.4, -0.79, -1.36, -1.19
 49.6, -0.77, -1.33, -1.19
 49.7, -0.77, -1.33, -1.20
 49.8, -0.78, -1.37, -1.19
 49.9, -0.79, -1.32, -1.20
 50.0, -0.81, -1.32, -1.22
 50.2, -0.80, -1.32, -1.19
 50.4, -0.80, -1.33, -1.19
 50.5, -0.80, -1.32, -1.18
 50.6, -0.79, -1.28, -1.22
 50.6, -0.81, -1.32, -1.22
 50.8, -0.79, -1.29, -1.22
 50.9, -0.82, -1.29, -1.22
 51.0, -0.84, -1.27, -1.19
 51.2, -0.81, -1.27, -1.21
 51.3, -0.79, -1.29, -1.22
 51.3, -0.80, -1.29, -1.19
 51.5, -0.79, -1.28, -1.21
 51.7, -0.79, -1.27, -1.21
 51.8, -0.78, -1.27, -1.22
 51.9, -0.79, -1.28, -1.21
 52.3, -0.79, -1.25, -1.26
 52.5, -0.83, -1.25, -1.21
 52.7, -0.81, -1.23, -1.24
 52.9, -0.83, -1.20, -1.25
 53.1, -0.84, -1.20, -1.27
 53.2, -0.81, -1.22, -1.25
 53.4, -0.79, -1.20, -1.28
 53.4, -0.81, -1.19, -1.25
 53.8, -0.82, -1.17, -1.25
 54.0, -0.81, -1.15, -1.25
 54.2, -0.85, -1.18, -1.28
 54.4, -0.85, -1.17, -1.27
 54.7, -0.84, -1.16, -1.25
 55.0, -0.84, -1.15, -1.29
 55.3, -0.82, -1.13, -1.26
 55.7, -0.81, -1.09, -1.32
 56.1, -0.85, -1.08, -1.30
 56.3, -0.85, -1.08, -1.31
 56.6, -0.84, -1.07, -1.31
 56.7, -0.87, -1.06, -1.31
 57.0, -0.87, -1.06, -1.33
 57.1, -0.85, -1.03, -1.31
 57.3, -0.83, -1.03, -1.34
 57.4, -0.85, -1.02, -1.33
 57.7, -0.85, -1.00, -1.33
 57.9, -0.84, -1.01, -1.33
 58.3, -0.85, -1.00, -1.33
 58.6, -0.88, -0.96, -1.38
 58.8, -0.90, -0.94, -1.37
 59.0, -0.87, -0.95, -1.33
 59.1, -0.88, -0.96, -1.36
 59.1, -0.89, -0.94, -1.36
 59.1, -0.89, -0.94, -1.40
 59.2, -0.87, -0.96, -1.38
 59.2, -0.91, -0.94, -1.36
 59.3, -0.84, -0.96, -1.39
 59.4, -0.86, -0.91, -1.37
 59.4, -0.86, -0.93, -1.39
 59.6, -0.89, -0.90, -1.40
 59.8, -0.87, -0.91, -1.43
 60.1, -0.89, -0.89, -1.41
 60.2, -0.89, -0.88, -1.41
 60.5, -0.87, -0.86, -1.44
 61.1, -0.91, -0.85, -1.42
 61.5, -0.89, -0.84, -1.45
 61.7, -0.90, -0.81, -1.48
 62.1, -0.89, -0.80, -1.43
 62.4, -0.93, -0.77, -1.47
 62.7, -0.96, -0.77, -1.49
 63.0, -0.92, -0.76, -1.49
 63.2, -0.95, -0.76, -1.53
 63.5, -0.88, -0.73, -1.53
 63.7, -0.91, -0.72, -1.53
 63.9, -0.97, -0.72, -1.53
 64.1, -0.90, -0.73, -1.53
 64.3, -0.94, -0.70, -1.53
 64.5, -0.94, -0.73, -1.55
 64.7, -0.97, -0.71, -1.54
 64.9, -0.96, -0.68, -1.56
 65.0, -0.91, -0.66, -1.56
